Time,CloudCover (In %),Direct_radiation (W/m²),Humidity (%H),Precipitaion (mm),SolarGeneration (MW),Surface_Pressure (hPa),Temperature (°C),ThermalGeneration (GW),Energy_Demand (GW),WindGeneration (MW),WindSpeed (km/h),USD_EGP_FX (EGP),Air_Density,BRENT_Crude_Oil_USD ($)
2/4/2022 3:15,12%,0 W/m²,59 %H,0 mm,0 MW,1010 hPa,9.30 °C,1.92 GW,2.74 GW,825 MW,34.6 km/h,15.7 EGP,1.25,$97.00 
2/4/2022 3:30,8%,0 W/m²,59 %H,0 mm,0 MW,1010 hPa,9.80 °C,2.16 GW,2.99 GW,832 MW,35.1 km/h,15.7 EGP,1.24,$96.90 
2/4/2022 3:45,12%,0 W/m²,59 %H,0 mm,0 MW,1010 hPa,9.50 °C,1.90 GW,2.72 GW,822 MW,34.4 km/h,15.7 EGP,1.24,$97.30 
2/4/2022 4:00,15%,0 W/m²,59 %H,0 mm,0 MW,1010 hPa,9.30 °C,2.15 GW,2.99 GW,843 MW,35.9 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 4:15,40%,0 W/m²,61 %H,0 mm,0 MW,1010 hPa,9.30 °C,2.29 GW,3.13 GW,845 MW,36.3 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 4:30,84%,0 W/m²,61 %H,0 mm,0 MW,1010 hPa,9.30 °C,2.09 GW,2.93 GW,845 MW,36.3 km/h,15.7 EGP,1.25,$97.00 
2/4/2022 4:45,40%,0 W/m²,61 %H,0 mm,0 MW,1010 hPa,9.30 °C,2.29 GW,3.13 GW,846 MW,36.4 km/h,15.7 EGP,1.25,$97.20 
2/4/2022 5:00,100%,0 W/m²,61 %H,0 mm,0 MW,1010 hPa,9.30 °C,2.05 GW,2.90 GW,850 MW,36.7 km/h,15.7 EGP,1.25,$97.30 
2/4/2022 5:15,100%,1 W/m²,61 %H,0 mm,2.34 MW,1010 hPa,10 °C,2.15 GW,2.97 GW,816 MW,34.2 km/h,15.7 EGP,1.24,$97.00 
2/4/2022 5:30,100%,4 W/m²,61 %H,0 mm,9.37 MW,1010 hPa,9.40 °C,2.34 GW,3.20 GW,845 MW,36.3 km/h,15.7 EGP,1.25,$97.00 
2/4/2022 5:45,100%,36 W/m²,61 %H,0 mm,84.3 MW,1011 hPa,9.50 °C,2.16 GW,3.09 GW,850 MW,36.7 km/h,15.7 EGP,1.25,$96.90 
2/4/2022 6:00,100%,38 W/m²,60 %H,0 mm,88.8 MW,1011 hPa,10 °C,2.29 GW,3.19 GW,816 MW,34.1 km/h,15.7 EGP,1.24,$96.90 
2/4/2022 6:15,94%,36 W/m²,64 %H,1 mm,83.8 MW,1011 hPa,10.3 °C,2.20 GW,3.10 GW,818 MW,34.7 km/h,15.7 EGP,1.24,$96.90 
2/4/2022 6:30,95%,34 W/m²,65 %H,1 mm,79.0 MW,1011 hPa,10.7 °C,2.24 GW,3.13 GW,809 MW,34.1 km/h,15.7 EGP,1.24,$97.10 
2/4/2022 6:45,87%,27 W/m²,63 %H,1 mm,62.8 MW,1011 hPa,10.2 °C,2.67 GW,3.55 GW,814 MW,34.3 km/h,15.7 EGP,1.24,$97.20 
2/4/2022 7:00,84%,27 W/m²,65 %H,1 mm,62.7 MW,1011 hPa,10.8 °C,2.53 GW,3.41 GW,820 MW,34.9 km/h,15.7 EGP,1.24,$97.00 
2/4/2022 7:15,85%,132 W/m²,65 %H,1 mm,306 MW,1011 hPa,11 °C,2.24 GW,3.37 GW,822 MW,35.1 km/h,15.7 EGP,1.24,$96.90 
2/4/2022 7:30,85%,47 W/m²,65 %H,1 mm,109 MW,1012 hPa,12.5 °C,2.56 GW,3.54 GW,871 MW,38.7 km/h,15.7 EGP,1.23,$97.30 
2/4/2022 7:45,85%,63 W/m²,65 %H,1 mm,146 MW,1011 hPa,12.4 °C,2.15 GW,3.22 GW,923 MW,39.7 km/h,15.7 EGP,1.23,$97.20 
2/4/2022 8:00,95%,167 W/m²,64 %H,0 mm,387 MW,1012 hPa,12.5 °C,1.90 GW,3.22 GW,928 MW,40.8 km/h,15.7 EGP,1.23,$97.00 
2/4/2022 8:15,99%,181 W/m²,64 %H,1 mm,417 MW,1012 hPa,13.3 °C,2.05 GW,3.40 GW,932 MW,42.4 km/h,15.7 EGP,1.23,$97.20 
2/4/2022 8:30,99%,178 W/m²,61 %H,1 mm,411 MW,1012 hPa,12.8 °C,2.39 GW,3.73 GW,935 MW,41.5 km/h,15.7 EGP,1.23,$97.20 
2/4/2022 8:45,99%,231 W/m²,60 %H,1 mm,533 MW,1012 hPa,13.4 °C,2.28 GW,3.75 GW,940 MW,42.7 km/h,15.7 EGP,1.23,$97.00 
2/4/2022 9:00,100%,284 W/m²,55 %H,1 mm,653 MW,1012 hPa,14.4 °C,2.19 GW,3.79 GW,950 MW,43.2 km/h,15.7 EGP,1.23,$97.00 
2/4/2022 9:15,98%,430 W/m²,55 %H,1 mm,986 MW,1012 hPa,15.1 °C,1.65 GW,3.58 GW,942 MW,40.3 km/h,15.7 EGP,1.22,$96.90 
2/4/2022 9:30,99%,303 W/m²,53 %H,1 mm,695 MW,1012 hPa,15.2 °C,2.10 GW,3.66 GW,860 MW,36.5 km/h,15.7 EGP,1.22,$97.10 
2/4/2022 9:45,95%,328 W/m²,55 %H,1 mm,752 MW,1012 hPa,15.3 °C,2.08 GW,3.78 GW,947 MW,42 km/h,15.7 EGP,1.22,$97.10 
2/4/2022 10:00,91%,432 W/m²,48 %H,1 mm,989 MW,1012 hPa,15.8 °C,1.83 GW,3.68 GW,865 MW,36.5 km/h,15.7 EGP,1.22,$97.30 
2/4/2022 10:15,97%,384 W/m²,45 %H,1 mm,878 MW,1012 hPa,16.1 °C,2.15 GW,3.86 GW,822 MW,33.5 km/h,15.7 EGP,1.22,$97.30 
2/4/2022 10:30,97%,384 W/m²,45 %H,1 mm,877 MW,1012 hPa,16.5 °C,2.40 GW,4.11 GW,831 MW,34.1 km/h,15.7 EGP,1.22,$97.00 
2/4/2022 10:45,94%,379 W/m²,46 %H,1 mm,866 MW,1012 hPa,16.3 °C,2.27 GW,3.99 GW,853 MW,35.7 km/h,15.7 EGP,1.22,$97.20 
2/4/2022 11:00,100%,362 W/m²,44 %H,0 mm,829 MW,1012 hPa,16.6 °C,2.37 GW,4.02 GW,821 MW,33.4 km/h,15.7 EGP,1.22,$97.20 
2/4/2022 11:15,100%,351 W/m²,44 %H,0 mm,803 MW,1012 hPa,17 °C,2.39 GW,4.01 GW,822 MW,33.5 km/h,15.7 EGP,1.21,$97.10 
2/4/2022 11:30,100%,339 W/m²,43 %H,0 mm,776 MW,1012 hPa,16.7 °C,2.48 GW,4.08 GW,824 MW,33.6 km/h,15.7 EGP,1.22,$97.10 
2/4/2022 11:45,100%,346 W/m²,42 %H,0 mm,792 MW,1012 hPa,16.7 °C,2.54 GW,4.16 GW,828 MW,33.9 km/h,15.7 EGP,1.22,$97.00 
2/4/2022 12:00,100%,267 W/m²,41 %H,0 mm,611 MW,1012 hPa,17.1 °C,2.41 GW,3.85 GW,829 MW,34 km/h,15.7 EGP,1.21,$97.30 
2/4/2022 12:15,100%,157 W/m²,41 %H,0 mm,359 MW,1012 hPa,17.1 °C,2.63 GW,3.82 GW,828 MW,33.9 km/h,15.7 EGP,1.21,$96.90 
2/4/2022 12:30,100%,128 W/m²,41 %H,0 mm,293 MW,1012 hPa,17.1 °C,3.03 GW,4.15 GW,829 MW,34 km/h,15.7 EGP,1.21,$97.00 
2/4/2022 12:45,100%,204 W/m²,41 %H,0 mm,467 MW,1012 hPa,17.1 °C,2.60 GW,3.89 GW,826 MW,33.8 km/h,15.7 EGP,1.21,$97.00 
2/4/2022 13:00,100%,122 W/m²,40 %H,0 mm,279 MW,1012 hPa,17.2 °C,2.98 GW,4.07 GW,814 MW,32.9 km/h,15.7 EGP,1.21,$97.00 
2/4/2022 13:15,100%,222 W/m²,41 %H,0 mm,508 MW,1013 hPa,17.2 °C,2.71 GW,4.04 GW,814 MW,32.9 km/h,15.7 EGP,1.22,$97.20 
2/4/2022 13:30,100%,182 W/m²,41 %H,0 mm,416 MW,1013 hPa,17.2 °C,2.90 GW,4.12 GW,810 MW,32.6 km/h,15.7 EGP,1.22,$97.10 
2/4/2022 13:45,100%,180 W/m²,41 %H,0 mm,412 MW,1013 hPa,17.2 °C,3.30 GW,4.53 GW,811 MW,32.7 km/h,15.7 EGP,1.22,$96.90 
2/4/2022 14:00,100%,234 W/m²,41 %H,0 mm,535 MW,1013 hPa,17.1 °C,2.94 GW,4.29 GW,810 MW,32.6 km/h,15.7 EGP,1.22,$97.20 
2/4/2022 14:15,70%,164 W/m²,46 %H,0 mm,399 MW,1014 hPa,16.2 °C,2.98 GW,4.19 GW,810 MW,32.6 km/h,15.7 EGP,1.22,$96.90 
2/4/2022 14:30,73%,223 W/m²,43 %H,0 mm,533 MW,1014 hPa,16.6 °C,3.09 GW,4.43 GW,810 MW,32.6 km/h,15.7 EGP,1.22,$97.00 
2/4/2022 14:45,100%,171 W/m²,45 %H,0 mm,391 MW,1013 hPa,17 °C,3.05 GW,4.26 GW,810 MW,32.6 km/h,15.7 EGP,1.22,$97.00 
2/4/2022 15:00,61%,112 W/m²,47 %H,0 mm,287 MW,1014 hPa,16.1 °C,3.53 GW,4.63 GW,810 MW,32.6 km/h,15.7 EGP,1.22,$97.30 
2/4/2022 15:15,46%,101 W/m²,51 %H,0 mm,280 MW,1014 hPa,15.7 °C,3.52 GW,4.55 GW,750 MW,32.2 km/h,15.7 EGP,1.22,$97.00 
2/4/2022 15:30,55%,48 W/m²,50 %H,0 mm,127 MW,1014 hPa,15.4 °C,3.81 GW,4.69 GW,751 MW,32.2 km/h,15.7 EGP,1.22,$96.90 
2/4/2022 15:45,47%,78 W/m²,55 %H,0 mm,215 MW,1014 hPa,15.4 °C,3.35 GW,4.31 GW,745 MW,32.2 km/h,15.7 EGP,1.22,$97.10 
2/4/2022 16:00,42%,45 W/m²,55 %H,0 mm,128 MW,1015 hPa,14.9 °C,3.23 GW,4.11 GW,745 MW,32.2 km/h,15.7 EGP,1.23,$96.90 
2/4/2022 16:15,43%,17 W/m²,58 %H,0 mm,48.0 MW,1015 hPa,14.8 °C,3.28 GW,4.01 GW,680 MW,30 km/h,15.7 EGP,1.23,$97.10 
2/4/2022 16:30,43%,7 W/m²,63 %H,0 mm,19.8 MW,1015 hPa,13.9 °C,3.40 GW,4.12 GW,698 MW,30.9 km/h,15.7 EGP,1.23,$97.10 
2/4/2022 16:45,46%,21 W/m²,56 %H,0 mm,58.4 MW,1015 hPa,14.6 °C,3.30 GW,4.06 GW,699 MW,30.6 km/h,15.7 EGP,1.23,$96.90 
2/4/2022 17:00,46%,0 W/m²,63 %H,0 mm,0 MW,1016 hPa,13.8 °C,3.75 GW,4.42 GW,671 MW,29.9 km/h,15.7 EGP,1.23,$97.10 
2/4/2022 17:15,45%,0 W/m²,65 %H,0 mm,0 MW,1016 hPa,13.8 °C,3.49 GW,4.04 GW,540 MW,27.9 km/h,15.7 EGP,1.23,$97.10 
2/4/2022 17:30,46%,0 W/m²,68 %H,0 mm,0 MW,1016 hPa,13.6 °C,3.21 GW,3.85 GW,643 MW,29.1 km/h,15.7 EGP,1.23,$97.00 
2/4/2022 17:45,43%,0 W/m²,65 %H,0 mm,0 MW,1016 hPa,12.9 °C,3.17 GW,3.72 GW,549 MW,28.1 km/h,15.7 EGP,1.24,$97.10 
2/4/2022 18:00,39%,0 W/m²,69 %H,0 mm,0 MW,1016 hPa,12.8 °C,3.55 GW,4.07 GW,523 MW,27.6 km/h,15.7 EGP,1.24,$96.90 
2/4/2022 18:15,33%,0 W/m²,74 %H,0 mm,0 MW,1017 hPa,12.5 °C,3.27 GW,3.77 GW,505 MW,27.3 km/h,15.7 EGP,1.24,$97.10 
2/4/2022 18:30,30%,0 W/m²,75 %H,0 mm,0 MW,1016 hPa,12.2 °C,3.52 GW,4.03 GW,504 MW,27.3 km/h,15.7 EGP,1.24,$97.10 
2/4/2022 18:45,28%,0 W/m²,70 %H,0 mm,0 MW,1017 hPa,12.7 °C,3.16 GW,3.66 GW,500 MW,27.1 km/h,15.7 EGP,1.24,$97.30 
2/4/2022 19:00,26%,0 W/m²,76 %H,0 mm,0 MW,1017 hPa,12.1 °C,3.56 GW,4.00 GW,444 MW,25.9 km/h,15.7 EGP,1.24,$97.20 
2/4/2022 19:15,26%,0 W/m²,77 %H,0 mm,0 MW,1018 hPa,11.7 °C,2.99 GW,3.43 GW,438 MW,25.8 km/h,15.7 EGP,1.24,$97.00 
2/4/2022 19:30,26%,0 W/m²,78 %H,0 mm,0 MW,1017 hPa,11.8 °C,3.42 GW,3.86 GW,438 MW,25.8 km/h,15.7 EGP,1.24,$97.10 
2/4/2022 19:45,26%,0 W/m²,77 %H,0 mm,0 MW,1017 hPa,11.9 °C,3.39 GW,3.84 GW,443 MW,25.9 km/h,15.7 EGP,1.24,$97.10 
2/4/2022 20:00,26%,0 W/m²,78 %H,0 mm,0 MW,1018 hPa,11.7 °C,3.04 GW,3.47 GW,438 MW,25.8 km/h,15.7 EGP,1.24,$97.20 
2/4/2022 20:15,17%,0 W/m²,79 %H,0 mm,0 MW,1018 hPa,11.3 °C,3.32 GW,3.76 GW,437 MW,25.8 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 20:30,19%,0 W/m²,79 %H,0 mm,0 MW,1018 hPa,11.6 °C,3.23 GW,3.66 GW,432 MW,25.7 km/h,15.7 EGP,1.25,$97.00 
2/4/2022 20:45,23%,0 W/m²,79 %H,0 mm,0 MW,1018 hPa,11.3 °C,2.80 GW,3.24 GW,437 MW,25.8 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 21:00,15%,0 W/m²,79 %H,0 mm,0 MW,1018 hPa,11.2 °C,2.67 GW,3.10 GW,428 MW,25.6 km/h,15.7 EGP,1.25,$97.00 
2/4/2022 21:15,16%,0 W/m²,80 %H,0 mm,0 MW,1018 hPa,10.8 °C,3.02 GW,3.29 GW,268 MW,23.5 km/h,15.7 EGP,1.25,$97.20 
2/4/2022 21:30,17%,0 W/m²,80 %H,0 mm,0 MW,1018 hPa,10.8 °C,2.98 GW,3.32 GW,335 MW,24.7 km/h,15.7 EGP,1.25,$97.30 
2/4/2022 21:45,16%,0 W/m²,80 %H,0 mm,0 MW,1018 hPa,11.1 °C,2.64 GW,2.97 GW,329 MW,24.6 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 22:00,17%,0 W/m²,80 %H,0 mm,0 MW,1018 hPa,10.8 °C,2.82 GW,3.04 GW,212 MW,22.5 km/h,15.7 EGP,1.25,$96.90 
2/4/2022 22:15,17%,0 W/m²,81 %H,0 mm,0 MW,1018 hPa,10.4 °C,2.62 GW,2.87 GW,245 MW,23.1 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 22:30,17%,0 W/m²,81 %H,0 mm,0 MW,1018 hPa,10.5 °C,2.47 GW,2.71 GW,240 MW,23 km/h,15.7 EGP,1.25,$96.90 
2/4/2022 22:45,17%,0 W/m²,81 %H,0 mm,0 MW,1018 hPa,10.2 °C,2.25 GW,2.50 GW,245 MW,23.1 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 23:00,16%,0 W/m²,81 %H,0 mm,0 MW,1018 hPa,10.2 °C,1.91 GW,2.16 GW,251 MW,23.2 km/h,15.7 EGP,1.25,$97.30 
2/4/2022 23:15,16%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,10 °C,2.02 GW,2.30 GW,284 MW,23.8 km/h,15.7 EGP,1.25,$97.10 
2/4/2022 23:30,16%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,10 °C,1.94 GW,2.23 GW,289 MW,23.9 km/h,15.7 EGP,1.25,$97.00 
2/4/2022 23:45,14%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,10 °C,1.58 GW,1.86 GW,273 MW,23.6 km/h,15.7 EGP,1.25,$97.30 
2/5/2022 0:00,11%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.90 °C,1.64 GW,1.94 GW,300 MW,24.1 km/h,15.7 EGP,1.25,$97.00 
2/5/2022 0:15,19%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.60 °C,1.51 GW,1.80 GW,295 MW,24 km/h,15.7 EGP,1.25,$97.20 
2/5/2022 0:30,19%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.70 °C,1.61 GW,1.90 GW,295 MW,24 km/h,15.7 EGP,1.25,$97.10 
2/5/2022 0:45,12%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.50 °C,1.79 GW,2.09 GW,300 MW,24.1 km/h,15.7 EGP,1.25,$97.00 
2/5/2022 1:00,24%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.50 °C,1.83 GW,2.12 GW,295 MW,24 km/h,15.7 EGP,1.25,$97.00 
2/5/2022 1:15,27%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.30 °C,1.61 GW,1.89 GW,278 MW,23.7 km/h,15.7 EGP,1.26,$97.00 
2/5/2022 1:30,29%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.10 °C,1.89 GW,2.16 GW,267 MW,23.5 km/h,15.7 EGP,1.26,$97.20 
2/5/2022 1:45,26%,0 W/m²,82 %H,0 mm,0 MW,1018 hPa,9.20 °C,1.69 GW,1.98 GW,289 MW,23.9 km/h,15.7 EGP,1.26,$97.10 
2/5/2022 2:00,29%,0 W/m²,81 %H,0 mm,0 MW,1018 hPa,9.10 °C,1.76 GW,2.01 GW,251 MW,23.2 km/h,15.7 EGP,1.26,$96.90 
2/5/2022 2:15,34%,0 W/m²,77 %H,0 mm,0 MW,1019 hPa,9.10 °C,2.05 GW,2.28 GW,236 MW,22.9 km/h,15.7 EGP,1.26,$97.30 
2/5/2022 2:30,34%,0 W/m²,80 %H,0 mm,0 MW,1019 hPa,9.10 °C,2.14 GW,2.38 GW,240 MW,23 km/h,15.7 EGP,1.26,$96.90 
2/5/2022 2:45,35%,0 W/m²,81 %H,0 mm,0 MW,1018 hPa,9.10 °C,1.92 GW,2.16 GW,240 MW,23 km/h,15.7 EGP,1.26,$97.00 
2/5/2022 3:00,43%,0 W/m²,76 %H,0 mm,0 MW,1019 hPa,9.10 °C,1.93 GW,2.16 GW,236 MW,22.9 km/h,15.7 EGP,1.26,$97.10 
2/5/2022 3:15,48%,0 W/m²,76 %H,0 mm,0 MW,1019 hPa,9 °C,2.24 GW,2.47 GW,231 MW,22.8 km/h,15.7 EGP,1.26,$97.00 
2/5/2022 3:30,47%,0 W/m²,76 %H,0 mm,0 MW,1019 hPa,8.90 °C,2.32 GW,2.50 GW,186 MW,22 km/h,15.7 EGP,1.26,$97.00 
2/5/2022 3:45,51%,0 W/m²,76 %H,0 mm,0 MW,1019 hPa,9 °C,2.45 GW,2.65 GW,197 MW,22.2 km/h,15.7 EGP,1.26,$97.00 
2/5/2022 4:00,58%,0 W/m²,74 %H,0 mm,0 MW,1019 hPa,8.90 °C,2.15 GW,2.34 GW,181 MW,21.9 km/h,15.7 EGP,1.26,$97.00 
2/5/2022 4:15,64%,0 W/m²,71 %H,0 mm,0 MW,1019 hPa,9.20 °C,2.40 GW,2.61 GW,208 MW,20.6 km/h,15.7 EGP,1.26,$97.30 
2/5/2022 4:30,62%,0 W/m²,74 %H,0 mm,0 MW,1019 hPa,9 °C,2.51 GW,2.73 GW,227 MW,21.2 km/h,15.7 EGP,1.26,$97.20 
2/5/2022 4:45,64%,0 W/m²,73 %H,0 mm,0 MW,1019 hPa,9.30 °C,2.32 GW,2.52 GW,200 MW,20.4 km/h,15.7 EGP,1.26,$97.00 
2/5/2022 5:00,65%,0 W/m²,70 %H,0 mm,0 MW,1020 hPa,9.30 °C,2.54 GW,2.74 GW,201 MW,20.4 km/h,15.7 EGP,1.26,$96.90 
2/5/2022 5:15,63%,59 W/m²,67 %H,0 mm,152 MW,1020 hPa,10.4 °C,2.62 GW,2.91 GW,135 MW,18.5 km/h,15.7 EGP,1.25,$96.90 
2/5/2022 5:30,65%,151 W/m²,65 %H,0 mm,385 MW,1020 hPa,10.3 °C,2.09 GW,2.64 GW,164 MW,19.3 km/h,15.7 EGP,1.25,$97.20 
2/5/2022 5:45,64%,7 W/m²,70 %H,0 mm,17.9 MW,1020 hPa,10.5 °C,2.62 GW,2.78 GW,138 MW,18.6 km/h,15.7 EGP,1.25,$97.20 
2/5/2022 6:00,62%,172 W/m²,64 %H,0 mm,445 MW,1021 hPa,10.5 °C,2.41 GW,3.01 GW,148 MW,18 km/h,15.7 EGP,1.25,$97.20 
2/5/2022 6:15,62%,189 W/m²,64 %H,0 mm,488 MW,1021 hPa,11.2 °C,2.17 GW,2.77 GW,109 MW,16.6 km/h,15.7 EGP,1.25,$97.00 
2/5/2022 6:30,62%,283 W/m²,61 %H,0 mm,731 MW,1021 hPa,11.4 °C,2.20 GW,3.07 GW,146 MW,17.9 km/h,15.7 EGP,1.25,$97.20 
2/5/2022 6:45,62%,250 W/m²,60 %H,0 mm,646 MW,1021 hPa,11.5 °C,2.50 GW,3.22 GW,77.1 MW,15.4 km/h,15.7 EGP,1.25,$97.00 
2/5/2022 7:00,61%,290 W/m²,58 %H,0 mm,751 MW,1021 hPa,12.3 °C,2.30 GW,3.12 GW,69.1 MW,15.1 km/h,15.7 EGP,1.25,$97.20 
2/5/2022 7:15,60%,281 W/m²,53 %H,0 mm,730 MW,1021 hPa,12.9 °C,2.34 GW,3.17 GW,97.6 MW,16.1 km/h,15.7 EGP,1.24,$97.10 
2/5/2022 7:30,61%,268 W/m²,55 %H,0 mm,694 MW,1021 hPa,12.6 °C,2.12 GW,2.93 GW,114 MW,16.7 km/h,15.7 EGP,1.24,$96.90 
2/5/2022 7:45,61%,282 W/m²,57 %H,0 mm,730 MW,1021 hPa,12.5 °C,2.25 GW,3.09 GW,116 MW,16.8 km/h,15.7 EGP,1.25,$97.10 
2/5/2022 8:00,59%,266 W/m²,52 %H,0 mm,693 MW,1021 hPa,13.9 °C,2.51 GW,3.32 GW,123 MW,17 km/h,15.7 EGP,1.24,$97.10 
2/5/2022 8:15,73%,327 W/m²,47 %H,0 mm,785 MW,1021 hPa,14.9 °C,2.18 GW,3.11 GW,143 MW,18.6 km/h,15.7 EGP,1.23,$96.90 
2/5/2022 8:30,72%,290 W/m²,50 %H,0 mm,701 MW,1021 hPa,14.6 °C,2.51 GW,3.36 GW,151 MW,18 km/h,15.7 EGP,1.24,$97.00 
2/5/2022 8:45,60%,320 W/m²,50 %H,0 mm,827 MW,1021 hPa,14.8 °C,2.39 GW,3.37 GW,151 MW,18 km/h,15.7 EGP,1.24,$97.20 
2/5/2022 9:00,83%,360 W/m²,45 %H,0 mm,828 MW,1021 hPa,15.3 °C,2.33 GW,3.35 GW,189 MW,21.9 km/h,15.7 EGP,1.23,$96.90 
2/5/2022 9:15,95%,302 W/m²,45 %H,0 mm,693 MW,1021 hPa,16 °C,2.54 GW,3.43 GW,189 MW,21.9 km/h,15.7 EGP,1.23,$97.20 
2/5/2022 9:30,95%,313 W/m²,43 %H,0 mm,719 MW,1021 hPa,15.9 °C,2.43 GW,3.39 GW,249 MW,21.5 km/h,15.7 EGP,1.23,$97.20 
2/5/2022 9:45,93%,300 W/m²,45 %H,0 mm,690 MW,1021 hPa,15.3 °C,2.66 GW,3.60 GW,252 MW,21.6 km/h,15.7 EGP,1.23,$97.20 
2/5/2022 10:00,100%,284 W/m²,42 %H,0 mm,652 MW,1021 hPa,16.1 °C,2.52 GW,3.42 GW,249 MW,21.5 km/h,15.7 EGP,1.23,$96.90 
2/5/2022 10:15,100%,279 W/m²,41 %H,0 mm,640 MW,1021 hPa,16.5 °C,2.64 GW,3.51 GW,227 MW,20.9 km/h,15.7 EGP,1.23,$97.10 
2/5/2022 10:30,100%,269 W/m²,42 %H,0 mm,616 MW,1021 hPa,16.8 °C,2.62 GW,3.45 GW,216 MW,20.6 km/h,15.7 EGP,1.23,$97.20 
2/5/2022 10:45,100%,264 W/m²,42 %H,0 mm,604 MW,1020 hPa,17.2 °C,3.03 GW,3.84 GW,209 MW,20.4 km/h,15.7 EGP,1.22,$96.90 
2/5/2022 11:00,100%,260 W/m²,37 %H,0 mm,595 MW,1020 hPa,17.2 °C,2.79 GW,3.59 GW,201 MW,20.2 km/h,15.7 EGP,1.22,$97.00 
2/5/2022 11:15,95%,272 W/m²,36 %H,0 mm,621 MW,1019 hPa,17.7 °C,2.90 GW,3.74 GW,223 MW,20.8 km/h,15.7 EGP,1.22,$97.20 
2/5/2022 11:30,95%,267 W/m²,36 %H,0 mm,609 MW,1020 hPa,18.1 °C,3.02 GW,3.85 GW,220 MW,20.7 km/h,15.7 EGP,1.22,$97.00 
2/5/2022 11:45,97%,265 W/m²,36 %H,0 mm,606 MW,1020 hPa,17.6 °C,2.82 GW,3.66 GW,234 MW,21.1 km/h,15.7 EGP,1.22,$97.00 
2/5/2022 12:00,88%,354 W/m²,33 %H,0 mm,807 MW,1019 hPa,18.2 °C,2.98 GW,4.02 GW,234 MW,21.1 km/h,15.7 EGP,1.22,$97.10 
2/5/2022 12:15,25%,409 W/m²,33 %H,0 mm,1.24 GW,1019 hPa,18.3 °C,2.47 GW,3.94 GW,223 MW,20.8 km/h,15.7 EGP,1.22,$97.00 
2/5/2022 12:30,36%,358 W/m²,33 %H,0 mm,1.03 GW,1019 hPa,18.3 °C,2.54 GW,3.80 GW,230 MW,21 km/h,15.7 EGP,1.22,$97.20 
2/5/2022 12:45,35%,405 W/m²,33 %H,0 mm,1.18 GW,1019 hPa,18.3 °C,2.81 GW,4.19 GW,198 MW,20.1 km/h,15.7 EGP,1.22,$97.00 
2/5/2022 13:00,15%,537 W/m²,32 %H,0 mm,1.67 GW,1019 hPa,18.4 °C,2.14 GW,4.00 GW,190 MW,19.9 km/h,15.7 EGP,1.22,$97.20 
2/5/2022 13:15,5%,570 W/m²,33 %H,0 mm,1.77 GW,1019 hPa,18.4 °C,2.31 GW,4.25 GW,168 MW,19.3 km/h,15.7 EGP,1.22,$97.20 
2/5/2022 13:30,5%,718 W/m²,33 %H,0 mm,2.23 GW,1019 hPa,18.3 °C,1.60 GW,4.02 GW,183 MW,19.7 km/h,15.7 EGP,1.22,$97.00 
2/5/2022 13:45,12%,671 W/m²,33 %H,0 mm,2.09 GW,1019 hPa,18.3 °C,1.89 GW,4.14 GW,172 MW,19.4 km/h,15.7 EGP,1.22,$97.10 
2/5/2022 14:00,3%,727 W/m²,33 %H,0 mm,2.26 GW,1019 hPa,18.2 °C,1.73 GW,4.15 GW,161 MW,19.1 km/h,15.7 EGP,1.22,$97.10 
2/5/2022 14:15,3%,654 W/m²,36 %H,0 mm,2.04 GW,1019 hPa,17.3 °C,2.28 GW,4.48 GW,154 MW,18.9 km/h,15.7 EGP,1.22,$96.90 
2/5/2022 14:30,3%,688 W/m²,35 %H,0 mm,2.14 GW,1019 hPa,17.6 °C,2.24 GW,4.53 GW,139 MW,18.5 km/h,15.7 EGP,1.22,$96.90 
2/5/2022 14:45,3%,702 W/m²,35 %H,0 mm,2.18 GW,1020 hPa,18 °C,2.33 GW,4.67 GW,147 MW,18.7 km/h,15.7 EGP,1.22,$96.90 
2/5/2022 15:00,3%,543 W/m²,36 %H,0 mm,1.69 GW,1020 hPa,17.3 °C,2.79 GW,4.61 GW,125 MW,18.1 km/h,15.7 EGP,1.22,$96.90 
2/5/2022 15:15,4%,434 W/m²,38 %H,0 mm,1.36 GW,1020 hPa,15.8 °C,3.06 GW,4.55 GW,128 MW,18.2 km/h,15.7 EGP,1.23,$97.00 
